# pcap,trace_1.pcap (not included in repository)
# idle_timeout_s,3
# interval_s,1
# packets_read,934389
# packets_with_ipv4,911425

time_s,sft_size
0.000000,0
1.000000,310
2.000000,600
3.000000,812
4.000000,791
5.000000,694
6.000000,689
7.000000,779
8.000000,832
9.000000,881
10.000000,762
11.000000,766
12.000000,704
13.000000,681
14.000000,703
15.000000,696
16.000000,683
17.000000,649
18.000000,666
19.000000,823
20.000000,794
21.000000,835
22.000000,769
23.000000,877
24.000000,821
25.000000,844
26.000000,727
27.000000,747
28.000000,713
29.000000,784
30.000000,758
31.000000,746
32.000000,747
33.000000,782
34.000000,758
35.000000,722
36.000000,707
37.000000,684
38.000000,712
39.000000,705
40.000000,810
41.000000,758
42.000000,744
43.000000,666
44.000000,714
45.000000,779
46.000000,853
47.000000,781
48.000000,832
49.000000,760
50.000000,845
51.000000,768
52.000000,935
53.000000,966
54.000000,919
55.000000,754
56.000000,697
57.000000,836
58.000000,880
59.000000,866
60.000000,762
61.000000,764
62.000000,761
63.000000,751
64.000000,701
65.000000,835
66.000000,1040
67.000000,1065
68.000000,972
69.000000,907
70.000000,942
71.000000,1131
72.000000,1118
73.000000,1168
74.000000,918
75.000000,824
76.000000,739
77.000000,676
78.000000,736
79.000000,757
80.000000,768
81.000000,772
82.000000,766
83.000000,826
84.000000,811
85.000000,758
86.000000,700
87.000000,656
88.000000,647
89.000000,719
90.000000,756
91.000000,764
92.000000,757
93.000000,770
94.000000,844
95.000000,769
96.000000,731
97.000000,672
98.000000,774
99.000000,791
100.000000,768
101.000000,672
102.000000,709
103.000000,714
104.000000,755
105.000000,721
106.000000,737
107.000000,713
108.000000,798
109.000000,845
110.000000,845
111.000000,816
112.000000,789
113.000000,820
114.000000,751
115.000000,748
116.000000,681
117.000000,664
118.000000,724
119.000000,780
120.000000,820
121.000000,844
122.000000,782
123.000000,796
124.000000,726
125.000000,717
126.000000,728
127.000000,755
128.000000,866
129.000000,910
130.000000,876
131.000000,796
132.000000,709
133.000000,686
134.000000,707
135.000000,751
136.000000,731
137.000000,731
138.000000,730
139.000000,828
140.000000,807
141.000000,889
142.000000,868
143.000000,950
144.000000,824
145.000000,835
146.000000,769
147.000000,804
148.000000,782
149.000000,740
150.000000,793
151.000000,766
152.000000,840
153.000000,822
154.000000,815
155.000000,812
156.000000,764
157.000000,667
158.000000,708
159.000000,759
160.000000,803
161.000000,790
162.000000,803
163.000000,779
164.000000,746
165.000000,821
166.000000,1023
167.000000,992
168.000000,921
169.000000,707
170.000000,762
171.000000,770
172.000000,942
173.000000,921
174.000000,910
175.000000,808
176.000000,750
177.000000,846
178.000000,876
179.000000,899
180.000000,816
181.000000,745
182.000000,762
183.000000,788
184.000000,732
185.000000,699
186.000000,916
187.000000,936
188.000000,950
189.000000,746
190.000000,801
191.000000,1022
192.000000,1029
193.000000,1058
194.000000,876
195.000000,847
196.000000,759
197.000000,635
198.000000,685
199.000000,699
200.000000,738
201.000000,720
202.000000,709
203.000000,757
204.000000,794
205.000000,789
206.000000,760
207.000000,724
208.000000,725
209.000000,696
210.000000,669
211.000000,683
212.000000,778
213.000000,743
214.000000,797
215.000000,735
216.000000,700
217.000000,615
218.000000,690
219.000000,779
220.000000,813
221.000000,730
222.000000,718
223.000000,718
224.000000,697
225.000000,691
226.000000,646
227.000000,684
228.000000,732
229.000000,753
230.000000,753
231.000000,731
232.000000,802
233.000000,826
234.000000,751
235.000000,697
236.000000,641
237.000000,641
238.000000,673
239.000000,785
240.000000,811
241.000000,815
242.000000,738
243.000000,753
244.000000,719
245.000000,709
246.000000,677
247.000000,693
248.000000,776
249.000000,892
250.000000,855
251.000000,773
252.000000,655
253.000000,662
254.000000,655
255.000000,689
256.000000,687
257.000000,665
258.000000,718
259.000000,711
260.000000,753
261.000000,757
262.000000,776
263.000000,903
264.000000,838
265.000000,849
266.000000,773
267.000000,724
268.000000,736
269.000000,663
270.000000,754
271.000000,742
272.000000,778
273.000000,751
274.000000,760
275.000000,795
276.000000,740
277.000000,656
278.000000,677
279.000000,723
280.000000,789
281.000000,758
282.000000,712
283.000000,727
284.000000,683
285.000000,745
286.000000,747
287.000000,847
288.000000,825
289.000000,846
290.000000,732
291.000000,762
292.000000,796
293.000000,883
294.000000,879
295.000000,785
296.000000,769
297.000000,824
298.000000,977
299.000000,951
300.000000,874
301.000000,782
302.000000,726
303.000000,756
304.000000,707
305.000000,716
306.000000,914
307.000000,984
308.000000,1039
309.000000,793
310.000000,865
311.000000,947
